transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,ageClasification,Date,Day,tapInHour
EIIW227B8L34VB,1.80063E+14,emoney,Bajragin Usada,M,2008,5,Matraman Baru - Ancol,1,P00142,Pal Putih,-6.184631,106.84402,7,4/3/2023 5:21,P00253,Tegalan,-6.203101,106.85715,12,4/3/2023 6:00,3500,Teenager,4/3/2023,Monday,5
LGXO740D2N47GZ,4885331907664776,dki,Gandi Widodo,F,1997,6C,Stasiun Tebet - Karet via Patra Kuningan,0,B01963P,Kemenkes 2,-6.2287,106.83302,13,4/3/2023 5:42,B03307P,Sampoerna Strategic,-6.217152,106.81892,21,4/3/2023 6:40,3500,Adult,4/3/2023,Monday,5
DJWR385V2U57TO,4996225095064169,dki,Emong Wastuti,F,1992,R1A,Pantai Maju - Kota,0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,4/3/2023 5:59,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39,4/3/2023 6:50,3500,Adult,4/3/2023,Monday,5
JTUZ800U7C86EH,6.39099E+11,flazz,Surya Wacana,F,1978,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0,B05587P,Taman Elok 1,-6.195743,106.93526,23,4/3/2023 5:44,B03090P,Raya Penggilingan,-6.183068,106.93194,29,4/3/2023 6:28,3500,Adult,4/3/2023,Monday,5
VMLO535V7F95NJ,5.70928E+11,flazz,Embuh Mardhiyah,M,1982,12,Tanjung Priok - Pluit,0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,4/3/2023 6:17,P00098,Kali Besar Barat,-6.135355,106.81143,15,4/3/2023 6:57,3500,Adult,4/3/2023,Monday,6
DDES630K2F80KC,2251412124634980,dki,Tirta Siregar,F,1993,1T,Cibubur - Balai Kota,0,B00127P,Benhil 3,-6.21601,106.81632,3,4/3/2023 5:08,B00694P,Grand Sahid,-6.210975,106.82059,6,4/3/2023 5:52,20000,Adult,4/3/2023,Monday,5
XTKE052E5E87LN,3587341902618993,dki,Darmanto Rajasa,F,1991,JAK.03,Lebak Bulus - Andara,1,B03416P,SDN Pondok Labu 11,-6.313269,106.80221,2,4/3/2023 6:44,B00899P,Jln. Baros,-6.311046,106.784,12,4/3/2023 7:11,0,Adult,4/3/2023,Monday,6
OIHS248V7S72EB,6510013988638519,dki,"Cagak Maheswara, S.Sos",F,1992,B14,Bekasi Barat - Kuningan,1,B00795P,Imperium,-6.210363,106.83059,1,4/3/2023 6:01,B01853P,Kayuringin 2,-6.245948,106.99247,16,4/3/2023 6:51,20000,Adult,4/3/2023,Monday,6
ERXO372B2H63RB,3580401035990896,dki,"T. Dadap Pradana, M.Ak",M,2004,1Q,Rempoa - Blok M,0,B05781P,TPU Bungur,-6.247208,106.77889,15,4/3/2023 5:57,B06578P,Blok M Jalur 3,-6.243426,106.80188,24,4/3/2023 6:51,3500,Teenager,4/3/2023,Monday,5
CLWK627W2M22WO,5541851157087967,dki,"Oskar Widiastuti, S.Farm",F,1997,5M,Kampung Melayu - Tanah Abang via Cikini,1,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,4/3/2023 6:32,B02387P,Matraman 4,-6.199782,106.8545,23,4/3/2023 7:23,3500,Adult,4/3/2023,Monday,6
IIEK980X1O23NZ,3.47204E+14,emoney,R.M. Labuh Laksmiwati,F,1984,M7B,BKN - Blok M,1,P00254,Tendean,-6.240213,106.83102,12,4/3/2023 6:22,P00129,Mampang Prapatan,-6.242699,106.82572,14,4/3/2023 6:50,3500,Adult,4/3/2023,Monday,6
OPLW560U3S06UG,3536759468239783,dki,Shakila Maryadi,F,1988,9A,PGC 2 - Grogol 2,1,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,4/3/2023 6:15,P00216,Semanggi,-6.22111,106.81354,6,4/3/2023 7:08,3500,Adult,4/3/2023,Monday,6
XESX233R4U46DN,6575130739600630,dki,Danuja Usada,F,2002,4,Pulo Gadung 2 - Tosari,1,P00159,Pasar Rumput,-6.207125,106.84112,2,4/3/2023 6:12,P00135,Matraman 2,-6.19891,106.8545,4,4/3/2023 7:07,3500,Teenager,4/3/2023,Monday,6
LZFD368Q3E81HJ,4.05684E+12,online,Nadine Utami,M,1975,JAK.46,Pasar Minggu - Jagakarsa,1,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,4/3/2023 5:38,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17,4/3/2023 6:09,0,Elderly,4/3/2023,Monday,5
KLUN542I2F21PI,4532407180860336,dki,H. Lutfan Nurdiyanti,M,2011,S22,Ciputat - Kampung Rambutan,0,B05291P,SMK Darussalam,-6.319946,106.74598,1,4/3/2023 6:43,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3,4/3/2023 7:07,3500,Teenager,4/3/2023,Monday,6
XDMP644Z5Y29DB,4556326832434362836,brizzi,Sari Nababan,F,2004,13,Ciledug - Tendean,1,P00096,JORR,-6.236104,106.75488,10,4/3/2023 6:49,P00001,Adam Malik,-6.236466,106.74786,11,4/3/2023 7:47,3500,Teenager,4/3/2023,Monday,6
CUPO258C0D42PY,4.96928E+12,online,"Hj. Ophelia Haryanti, S.Sos",M,2002,9E,Kebayoran Lama - Jelambar,1,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,4/3/2023 5:41,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20,4/3/2023 6:35,3500,Teenager,4/3/2023,Monday,5
SBPQ144H4S45RA,5.02035E+11,flazz,"Adikara Kurniawan, S.Sos",M,2003,M9,Pinang Ranti - Pluit,1,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,4/3/2023 6:24,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16,4/3/2023 7:07,3500,Teenager,4/3/2023,Monday,6
ZYRL615G4C05RD,5430018591726410,dki,Karna Waskita,M,1981,JAK.88,Terminal Tanjung Priok - Ancol Barat,0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,4/3/2023 6:43,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36,4/3/2023 7:30,0,Adult,4/3/2023,Monday,6
MEFW094B7A84RS,3.78872E+14,emoney,Aslijan Irawan,F,2009,T11,Poris Plawad - Bundaran Senayan,1,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,4/3/2023 5:13,B05720P,Term. Poris Plawad,-6.172859,106.66501,24,4/3/2023 6:08,3500,Teenager,4/3/2023,Monday,5
