transID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
EIIW227B8L34VB,emoney,Bajragin Usada,M,2008,5,Matraman Baru - Ancol,1,P00142,Pal Putih,-6.184631,106.84402,7,4/3/2023 5:21,P00253,Tegalan,-6.203101,106.85715,12,4/3/2023 6:00,3500
LGXO740D2N47GZ,dki,Gandi Widodo,F,1997,6C,Stasiun Tebet - Karet via Patra Kuningan,0,B01963P,Kemenkes 2,-6.2287,106.83302,13,4/3/2023 5:42,B03307P,Sampoerna Strategic,-6.217152,106.81892,21,4/3/2023 6:40,3500
DJWR385V2U57TO,dki,Emong Wastuti,F,1992,R1A,Pantai Maju - Kota,0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,4/3/2023 5:59,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39,4/3/2023 6:50,3500
JTUZ800U7C86EH,flazz,Surya Wacana,F,1978,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0,B05587P,Taman Elok 1,-6.195743,106.93526,23,4/3/2023 5:44,B03090P,Raya Penggilingan,-6.183068,106.93194,29,4/3/2023 6:28,3500
VMLO535V7F95NJ,flazz,Embuh Mardhiyah,M,1982,12,Tanjung Priok - Pluit,0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,4/3/2023 6:17,P00098,Kali Besar Barat,-6.135355,106.81143,15,4/3/2023 6:57,3500
DDES630K2F80KC,dki,Tirta Siregar,F,1993,1T,Cibubur - Balai Kota,0,B00127P,Benhil 3,-6.21601,106.81632,3,4/3/2023 5:08,B00694P,Grand Sahid,-6.210975,106.82059,6,4/3/2023 5:52,20000
HEMW326B9N91TV,emoney,"R. Devi Hariyah, S.T.",M,1974,JAK.18,Kalibata - Kuningan,0,B00243P,Cervino Village,-6.224355,106.85165,25,4/3/2023 6:58,,,,,,,0
XTKE052E5E87LN,dki,Darmanto Rajasa,F,1991,,,1,B03416P,SDN Pondok Labu 11,-6.313269,106.80221,2,4/3/2023 6:44,B00899P,Jln. Baros,-6.311046,106.784,12,4/3/2023 7:11,0
OIHS248V7S72EB,dki,"Cagak Maheswara, S.Sos",F,1992,B14,Bekasi Barat - Kuningan,1,B00795P,Imperium,-6.210363,106.83059,1,4/3/2023 6:01,B01853P,Kayuringin 2,-6.245948,106.99247,16,4/3/2023 6:51,20000
ERXO372B2H63RB,dki,"T. Dadap Pradana, M.Ak",M,2004,1Q,Rempoa - Blok M,0,B05781P,TPU Bungur,-6.247208,106.77889,15,4/3/2023 5:57,B06578P,Blok M Jalur 3,-6.243426,106.80188,24,4/3/2023 6:51,3500
CLWK627W2M22WO,dki,"Oskar Widiastuti, S.Farm",F,1997,5M,Kampung Melayu - Tanah Abang via Cikini,1,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,4/3/2023 6:32,B02387P,Matraman 4,-6.199782,106.8545,23,4/3/2023 7:23,3500
IIEK980X1O23NZ,emoney,R.M. Labuh Laksmiwati,F,1984,M7B,BKN - Blok M,1,P00254,Tendean,-6.240213,106.83102,12,4/3/2023 6:22,P00129,Mampang Prapatan,-6.242699,106.82572,14,4/3/2023 6:50,
OPLW560U3S06UG,dki,Shakila Maryadi,F,1988,9A,PGC 2 - Grogol 2,1,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,4/3/2023 6:15,P00216,Semanggi,-6.22111,106.81354,6,4/3/2023 7:08,3500
XESX233R4U46DN,dki,Danuja Usada,F,2002,4,Pulo Gadung 2 - Tosari,1,P00159,Pasar Rumput,-6.207125,106.84112,2,4/3/2023 6:12,P00135,Matraman 2,-6.19891,106.8545,4,4/3/2023 7:07,3500
LZFD368Q3E81HJ,online,Nadine Utami,M,1975,JAK.46,Pasar Minggu - Jagakarsa,1,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,4/3/2023 5:38,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17,4/3/2023 6:09,0
KLUN542I2F21PI,dki,H. Lutfan Nurdiyanti,M,2011,S22,Ciputat - Kampung Rambutan,0,B05291P,SMK Darussalam,-6.319946,106.74598,1,4/3/2023 6:43,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3,4/3/2023 7:07,3500
XDMP644Z5Y29DB,brizzi,Sari Nababan,F,2004,13,Ciledug - Tendean,1,P00096,JORR,-6.236104,106.75488,10,4/3/2023 6:49,P00001,Adam Malik,-6.236466,106.74786,11,4/3/2023 7:47,3500
CUPO258C0D42PY,online,"Hj. Ophelia Haryanti, S.Sos",M,2002,9E,Kebayoran Lama - Jelambar,1,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,4/3/2023 5:41,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20,4/3/2023 6:35,3500
SBPQ144H4S45RA,flazz,"Adikara Kurniawan, S.Sos",M,2003,M9,Pinang Ranti - Pluit,1,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,4/3/2023 6:24,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16,4/3/2023 7:07,3500
ZYRL615G4C05RD,dki,Karna Waskita,M,1981,JAK.88,Terminal Tanjung Priok - Ancol Barat,0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,4/3/2023 6:43,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36,4/3/2023 7:30,0
MEFW094B7A84RS,emoney,Aslijan Irawan,F,2009,T11,Poris Plawad - Bundaran Senayan,1,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,4/3/2023 5:13,B05720P,Term. Poris Plawad,-6.172859,106.66501,24,4/3/2023 6:08,3500
ZJVI960B9I42DA,emoney,Garang Utama,F,1997,JAK.16,Cililitan - Condet,0,,Lippo Mall Kramat Jati,-6.270835,106.86741,4,4/3/2023 5:08,B01393P,Jln. Mesjid Al Mabruk,-6.28435,106.85293,20,4/3/2023 5:30,0
RJPK085I1K65HR,flazz,Fathonah Saefullah,M,1983,6V,Ragunan - Gelora Bung Karno,0,P00259,Tirtayasa,-6.239207,106.80777,12,4/3/2023 6:44,P00133,Masjid Agung,-6.236483,106.79845,13,4/3/2023 7:11,3500
TFIO518N2X54UT,emoney,Darman Purwanti,M,1999,11Q,Kampung Melayu - Pulo Gebang via BKT,0,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,4/3/2023 6:45,B05256P,SMAN 100,-6.228401,106.88494,21,4/3/2023 7:06,3500
SYLN486U0E02TA,dki,Taufik Farida,F,1981,JAK.02,Kampung Melayu - Duren Sawit,0,B05023P,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,4/3/2023 5:43,B03135P,RS Duren Sawit 2,-6.232262,106.91019,39,4/3/2023 6:12,0
BECP746A8C28NV,dki,Martana Suartini,F,2007,11,Pulo Gebang - Matraman,0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,4/3/2023 5:48,P00086,Jatinegara RS Premier,-6.221412,106.86807,14,4/3/2023 6:33,3500
KYNP204W3G29VA,flazz,Eluh Nugroho,F,2011,1C,Pesanggrahan - Blok M,0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,4/3/2023 6:00,B00147P,Bintaro Park VIew,-6.257977,106.75969,5,4/3/2023 6:23,3500
MSFD430X8W13TO,dki,"Cut Hana Maulana, S.H.",F,1979,3B,Rusun Flamboyan - Cengkareng,0,B06299P,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,4/3/2023 5:49,B02195P,Mall Taman Palem 3,-6.140548,106.73011,6,4/3/2023 6:42,0
MKND874X1D96HF,emoney,Tgk. Ilsa Farida,M,1983,R1A,Pantai Maju - Kota,0,B06040P,Pantai Maju,-6.093637,106.75068,0,4/3/2023 5:45,B03322P,SD Diakonia 1,-6.112155,106.7893,23,4/3/2023 6:22,3500
LFYJ535S2I30DP,online,"Drs. Nadia Ramadan, S.Sos",M,1960,M1,Blok M - Kota,0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,4/3/2023 6:15,P00104,Karet Sudirman,-6.212457,106.82003,7,4/3/2023 6:50,3500
TCKQ601Q5O01BC,dki,drg. Lukman Hidayanto,M,1995,JAK.46,Pasar Minggu - Jagakarsa,1,B00001P,18 Office Park,-6.299146,106.8321,19,4/3/2023 6:14,,,,,,,0
KQIA358G2N38CX,dki,"Ibrahim Prayoga, S.H.",F,2001,7E,Kampung Rambutan - Ragunan,0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,4/3/2023 5:11,B02868P,Plaza Oleos,-6.29771,106.82965,17,4/3/2023 5:38,3500
RANO576G1J87EO,dki,Ega Andriani,F,1990,1P,Senen - Blok M,0,B00102P,Balai Kota 1,-6.180598,106.82847,12,4/3/2023 6:26,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29,4/3/2023 6:51,3500
NZCE828E4J23AW,emoney,Salman Ramadan,M,1968,7D,Pancoran - Kampung Rambutan,0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,4/3/2023 6:44,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13,4/3/2023 7:28,3500
OFPJ170M5O75AP,emoney,Zizi Nasyiah,M,1985,6H,Senen - Lebak Bulus,1,P00128,Lebak Bulus,-6.289413,106.77415,0,4/3/2023 5:12,P00121,Kuningan Timur,-6.234731,106.82902,15,4/3/2023 5:35,3500
LKXU174O1E59EP,dki,"Tgk. Aris Pradipta, M.M.",F,2010,14,Jakarta International Stadium - Senen,1,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,4/3/2023 6:47,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,4/3/2023 7:34,3500
AXTN077R7Z77JM,flazz,Margana Narpati,F,1989,BW9,Monas - Pantai Indah Kapuk,1,B02476P,Monas 2,-6.175999,106.82311,7,4/3/2023 6:29,B02477P,Monas 3,-6.178787,106.82304,8,4/3/2023 7:24,0
WQXL397G5U61OY,flazz,"Galang Megantara, S.Ked",M,1989,JIS3,Harmoni - Jakarta International Stadium,0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,4/3/2023 6:32,P00161,Pecenongan,-6.16771,106.82819,12,4/3/2023 7:20,3500
